station,mean,std,p2.5,p97.5,IC95
Sant Vicenç de Calders,20142.928956542037,140284.8509442087,14.400689074399788,22.636349009547615,8.235659935147828
El Vendrell,20404.72257277093,141838.3106616424,28.53675401905496,44.652641751732254,16.115887732677294
L'Arboç,20258.229450056584,140713.12844478985,42.97431521912863,67.43878722388372,24.464472004755095
Els Monjos,20472.980121698747,142019.82340603074,56.52230748265195,89.03113494476115,32.5088274621092
Vilafranca del Penedès,20329.23389808558,141069.78205396896,68.53881098277684,107.56848413584439,39.02967315306755
La Granada,20417.456554949753,141466.25074784772,82.30613386608583,129.47603400171403,47.1699001356282
La Pobla de Claramunt,20556.752339149632,142371.6587899801,96.72108295408135,150.9014286015188,54.18034564743745
Sant Sadurní d'Anoia,20624.180630946645,142602.47927186228,110.87664577005901,172.64996998861866,61.77332421855965
Gelida,20475.412269767447,141533.13879334132,125.13870203819393,192.72538173625392,67.58667969806
Martorell,20646.122157055648,142651.05611472353,134.818260332195,209.66592087727392,74.84766054507892
Castellbisbal,20540.499732931294,141946.63059600635,147.20885967784318,231.6786311820647,84.46977150422151
El Papiol,20575.432310231754,142057.36475603955,160.35704670242782,250.8960711341821,90.53902443175429
Molins de Rei,20643.517830164277,142196.743563427,173.45602821546393,271.26048843932654,97.8044602238626
Sant Feliu de Llobregat,20637.805217029312,142215.88731251867,181.97611212220113,285.19460793875214,103.21849581655101
Sant Joan Despí,20424.63096091545,140558.53102299405,194.08992407896565,304.25125064740104,110.16132656843538
Cornellà,20921.739943173485,143873.7061445253,198.3946728765558,311.72977298020515,113.33510010364935
